method,homDim,score,strDim
ecc,1,0.9920530102208621,1
pes,1,0.7364594268801897,1
pi,1,0.8500527591060592,1
vpb,1,0.007700475079279127,1
vab,"[0, 1]",0.9911308529199844,"[0, 1]"
pl,"[0, 1]",0.9806838014016336,"[0, 1]"
ps,"[0, 1]",0.9858573364066154,"[0, 1]"
nl,"[0, 1]",0.9903774525589926,"[0, 1]"
ecc,"[0, 1]",0.9914551415704028,"[0, 1]"
pes,"[0, 1]",0.977431560926794,"[0, 1]"
pi,"[0, 1]",0.02505639933038179,"[0, 1]"
vpb,"[0, 1]",0.03173105289767305,"[0, 1]"
vab,0,0.9668416923367424,0
pl,0,0.5061715321332,0
ps,0,0.9422017895146949,0
nl,0,0.9526151480560486,0
ecc,0,0.9677219916910339,0
pes,0,0.964029754240728,0
pi,0,0.9638719994416508,0
vpb,0,0.964044745171599,0
vab,1,0.9885089522093644,1
pl,1,0.9882974320410328,1
ps,1,0.9834741540947624,1
nl,1,0.9899253305144675,1
ecc,1,0.9928700913521892,1
pes,1,0.5470651545873921,1
pi,1,0.7589551157585434,1
vpb,1,0.006515807519833709,1
vab,"[0, 1]",0.9932518840109089,"[0, 1]"
pl,"[0, 1]",0.98777464143569,"[0, 1]"
ps,"[0, 1]",0.9891648586474548,"[0, 1]"
nl,"[0, 1]",0.9905114580340204,"[0, 1]"
ecc,"[0, 1]",0.9943637341914923,"[0, 1]"
pes,"[0, 1]",0.9783764094498064,"[0, 1]"
pi,"[0, 1]",0.9072676877712287,"[0, 1]"
vpb,"[0, 1]",8.957355676635556e-05,"[0, 1]"
vab,0,0.9717973508972401,0
pl,0,0.4133336178429639,0
ps,0,0.9433279634955248,0
nl,0,0.9575459561360735,0
ecc,0,0.9616718961511471,0
pes,0,0.9642806771862112,0
pi,0,0.9695450527327173,0
vpb,0,0.9664439805063081,0
vab,1,0.9891118416165657,1
pl,1,0.9848065625575796,1
ps,1,0.9720030294548523,1
nl,1,0.979712816730439,1
ecc,1,0.9930463257155651,1
pes,1,0.7410375132268766,1
pi,1,0.9575543073985036,1
vpb,1,0.006118596016482651,1
vab,"[0, 1]",0.9901158123976421,"[0, 1]"
pl,"[0, 1]",0.9857623920521144,"[0, 1]"
ps,"[0, 1]",0.9883064562758036,"[0, 1]"
nl,"[0, 1]",0.9762536635710095,"[0, 1]"
ecc,"[0, 1]",0.9940768025594388,"[0, 1]"
pes,"[0, 1]",0.976389820566056,"[0, 1]"
pi,"[0, 1]",0.9903710527218708,"[0, 1]"
vpb,"[0, 1]",0.0004470929631608401,"[0, 1]"
vab,0,0.9585890321556588,0
pl,0,0.5015675301376,0
ps,0,0.9414536226817243,0
nl,0,0.9614092767552074,0
ecc,0,0.9686545351275948,0
pes,0,0.9665283361498999,0
pi,0,0.9677454978060605,0
vpb,0,0.9685338568446861,0
vab,1,0.9886860894898201,1
pl,1,0.9869459653410949,1
ps,1,0.9884083702155202,1
nl,1,0.9837291399865528,1
ecc,1,0.9928296640420761,1
pes,1,0.7716085535625825,1
pi,1,0.7042046555165457,1
vpb,1,0.01726150983428664,1
vab,"[0, 1]",0.9929362778842967,"[0, 1]"
pl,"[0, 1]",0.985856215806256,"[0, 1]"
ps,"[0, 1]",0.765258466110813,"[0, 1]"
nl,"[0, 1]",0.9861199387053713,"[0, 1]"
ecc,"[0, 1]",0.9937570683632986,"[0, 1]"
pes,"[0, 1]",0.9738885578296396,"[0, 1]"
pi,"[0, 1]",0.9897731363876906,"[0, 1]"
vpb,"[0, 1]",0.010470851591815154,"[0, 1]"
vab,0,0.9777929590794094,0
pl,0,0.4700264747380614,0
ps,0,0.9522693843522295,0
nl,0,0.9490066568953287,0
ecc,0,0.9726046461952844,0
pes,0,0.9707805573165442,0
pi,0,0.647255332205115,0
vpb,0,0.9657010484014853,0
vab,1,0.9914140804071443,1
pl,1,0.9840801759162626,1
ps,1,0.9830959408657016,1
nl,1,0.9861316051159478,1
ecc,1,0.9929392285192089,1
pes,1,0.7574697754626943,1
pi,1,0.7757847392450874,1
vpb,1,0.011703962397356838,1
vab,"[0, 1]",0.9935898018966492,"[0, 1]"
pl,"[0, 1]",0.9857148279793865,"[0, 1]"
ps,"[0, 1]",0.9872491524366792,"[0, 1]"
nl,"[0, 1]",0.9882167498746172,"[0, 1]"
ecc,"[0, 1]",0.9907603307560199,"[0, 1]"
pes,"[0, 1]",0.9764890063172488,"[0, 1]"
pi,"[0, 1]",0.9901308895190535,"[0, 1]"
vpb,"[0, 1]",0.007807735312620516,"[0, 1]"
vab,0,0.9661912974027719,0
pl,0,0.4903262659993156,0
ps,0,0.9452715714659595,0
nl,0,0.951771551810812,0
ecc,0,0.9657634051244478,0
pes,0,0.9693245190999917,0
pi,0,0.9756568257142595,0
vpb,0,0.9656495751161723,0
vab,1,0.9805817851603511,1
pl,1,0.9872701354746755,1
ps,1,0.9828681862650063,1
nl,1,0.9858057281867886,1
ecc,1,0.9936030358909663,1
pes,1,0.7622705265432136,1
pi,1,0.46544694249179436,1
vpb,1,2.103926999686754e-05,1
vab,"[0, 1]",0.9925317688939942,"[0, 1]"
pl,"[0, 1]",0.9849617531784461,"[0, 1]"
ps,"[0, 1]",0.9900545627245755,"[0, 1]"
nl,"[0, 1]",0.9895880849107614,"[0, 1]"
ecc,"[0, 1]",0.9923148386144576,"[0, 1]"
pes,"[0, 1]",0.975295625114804,"[0, 1]"
pi,"[0, 1]",0.9867352987603961,"[0, 1]"
vpb,"[0, 1]",0.016932192660335684,"[0, 1]"
vab,0,0.9696406681377212,0
pl,0,0.43404003389163953,0
ps,0,0.9440377506295748,0
nl,0,0.9528722666115931,0
ecc,0,0.9703500336666272,0
pes,0,0.9652967362690448,0
pi,0,0.9724353335754113,0
vpb,0,0.9712750576035379,0
vab,1,0.9870896550682512,1
pl,1,0.9846411174308064,1
ps,1,0.983933814833848,1
nl,1,0.9882337929211166,1
ecc,1,0.9890815612053162,1
pes,1,0.7709571489486611,1
pi,1,0.9415623651164319,1
vpb,1,0.01102283944856993,1
vab,"[0, 1]",0.9925744527334189,"[0, 1]"
pl,"[0, 1]",0.9875271485952081,"[0, 1]"
ps,"[0, 1]",0.9858238137569239,"[0, 1]"
nl,"[0, 1]",0.987447410671479,"[0, 1]"
ecc,"[0, 1]",0.9916816722658133,"[0, 1]"
pes,"[0, 1]",0.9721693957210548,"[0, 1]"
pi,"[0, 1]",0.9803640385104504,"[0, 1]"
vpb,"[0, 1]",0.013676281762460765,"[0, 1]"
vab,0,0.9712126819468618,
pl,0,0.3842008140575179,
ps,0,0.9431430824686947,
nl,0,0.9532947686073974,
ecc,0,0.9690009630022057,
pes,0,0.9605318742067159,
pi,0,0.9582194818495722,
vpb,0,0.964905275771507,
vab,1,0.9878062442394112,
pl,1,0.9872920875887989,
ps,1,0.9856340125559709,
nl,1,0.9855559541383566,
ecc,1,0.9939181581075748,
pes,1,0.6399531500120874,
pi,1,0.9701727278719369,
vpb,1,0.00016174814176628754,
vab,"[0, 1]",0.9902408786936081,
pl,"[0, 1]",0.9853635221545676,
ps,"[0, 1]",0.9885198630399032,
nl,"[0, 1]",0.9887349966739256,
ecc,"[0, 1]",0.9912813955261551,
pes,"[0, 1]",0.9734371620216381,
pi,"[0, 1]",0.985287611987428,
vpb,"[0, 1]",0.0007843661041719978,
vab,0,0.9669746314716083,
pl,0,0.49942412983372264,
ps,0,0.9453370360606185,
nl,0,0.964380038029048,
ecc,0,0.9666207762478989,
pes,0,0.9637930481593544,
pi,0,0.9729901174976859,
vpb,0,0.7935812637636152,
vab,1,0.9900936917919185,
pl,1,0.9862295072030353,
ps,1,0.9833726917976119,
nl,1,0.9889003169797468,
ecc,1,0.9937453169828729,
pes,1,0.7441790340822395,
pi,1,0.8952291302664204,
vpb,1,0.016503722665150756,
vab,"[0, 1]",0.9919327612489001,
pl,"[0, 1]",0.9842576018585727,
ps,"[0, 1]",0.9868482750966364,
nl,"[0, 1]",0.9895331068976965,
ecc,"[0, 1]",0.9921031913491946,
pes,"[0, 1]",0.9717439916201165,
pi,"[0, 1]",0.9908849249797963,
vpb,"[0, 1]",0.014621584570078953,
vab,0,0.9682632686106187,
pl,0,0.503936643738771,
ps,0,0.949249258511002,
nl,0,0.9518349904528051,
ecc,0,0.9768162853460212,
pes,0,0.9700273058275964,
pi,0,0.9791652821730976,
vpb,0,0.972113858340586,
vab,1,0.9814829862055432,
pl,1,0.9848357169658276,
ps,1,0.9633015394929344,
nl,1,0.9786788556045583,
ecc,1,0.9933533880950913,
pes,1,0.7688390475925296,
pi,1,0.06647916630848047,
vpb,1,0.0024071308375372955,
vab,"[0, 1]",0.9932300733325566,
pl,"[0, 1]",0.9800405593397925,
ps,"[0, 1]",0.9883834849074421,
nl,"[0, 1]",0.9905475067226936,
ecc,"[0, 1]",0.9931012368155897,
pes,"[0, 1]",0.9756072589503014,
pi,"[0, 1]",0.7287916689610772,
vpb,"[0, 1]",0.0028774697705008824,
vab,0,0.9615740783804236,
pl,0,0.2971517970690957,
ps,0,0.9246072103506691,
nl,0,0.9493403363559338,
ecc,0,0.966477293842652,
pes,0,0.960758938274173,
pi,0,0.9469967933732881,
vpb,0,0.963560601992364,
vab,1,0.9876106329776269,
pl,1,0.9817547050621975,
ps,1,0.9817300528769036,
nl,1,0.9870417983968507,
ecc,1,0.9907082539672445,
pes,1,0.7694825737001805,
pi,1,0.51100473733586,
vpb,1,0.0037877111592294808,
vab,"[0, 1]",0.9898804628741169,
pl,"[0, 1]",0.9840332010991695,
ps,"[0, 1]",0.9840387149049761,
nl,"[0, 1]",0.9876398114119534,
ecc,"[0, 1]",0.9907204938295252,
pes,"[0, 1]",0.9692305371995323,
pi,"[0, 1]",0.6627174675314457,
vpb,"[0, 1]",0.0185989150815186,
vab,0,0.9686997485227175,
pl,0,0.6131580515355327,
ps,0,0.9292436377883104,
nl,0,0.9560001274053226,
ecc,0,0.971545662336708,
pes,0,0.9630443722254018,
pi,0,0.9655917331414772,
vpb,0,0.9614870806806979,
vab,1,0.9874452821541668,
pl,1,0.985433895798403,
ps,1,0.9846468014038721,
nl,1,0.9863133300956514,
ecc,1,0.9915941030792323,
pes,1,0.7773179226478159,
pi,1,0.9854244580189593,
vpb,1,0.005120255014658612,
vab,"[0, 1]",0.99362308338582,
pl,"[0, 1]",0.9854675557141815,
ps,"[0, 1]",0.9851760874464911,
nl,"[0, 1]",0.9871641937040867,
ecc,"[0, 1]",0.9942940246859788,
pes,"[0, 1]",0.9755331449949789,
pi,"[0, 1]",0.010399007938322132,
vpb,"[0, 1]",0.015360789796073814,
vab,0,0.968158577963547,
pl,0,0.44520627538616836,
ps,0,0.943409814232833,
nl,0,0.9453165316120792,
ecc,0,0.9763562629213295,
pes,0,0.9664364119583998,
pi,0,0.9688927798683813,
vpb,0,0.9703956476314237,
vab,1,0.9896059713658887,
pl,1,0.9836008506587478,
